id,title,type,town,priority_rank,findings,review_reason,backend,verified,problems,file
c8b6934e-5070-4449-87aa-e2c11a4b2933,新北市私立精英國際幼兒園,私立,鶯歌區,31,0,分數前100,template,True,,c8b6934e_新北市私立精英國際幼兒園.txt
22adff3d-3807-4663-ba69-023f24039731,新北市私立林口啟文幼兒園,私立,林口區,32,0,分數前100,template,True,,22adff3d_新北市私立林口啟文幼兒園.txt
01442eb5-9fc6-4547-bb2c-1b8fceadd759,新北市私立嘉傑幼兒園,私立,林口區,33,0,分數前100,template,True,,01442eb5_新北市私立嘉傑幼兒園.txt
f62f90e2-666b-4dda-9864-2680449bca74,新北市私立立聖幼兒園,私立,板橋區,34,0,分數前100,template,True,,f62f90e2_新北市私立立聖幼兒園.txt
600d045a-d2b3-4e9d-af52-fc8e4f43804f,新北市私立華納幼兒園,私立,三重區,35,0,分數前100,template,True,,600d045a_新北市私立華納幼兒園.txt
bd907d7f-b6f7-4fc6-b8f5-2b433ce5d4da,新北市私立維多利亞幼兒園,私立,蘆洲區,36,0,分數前100,template,True,,bd907d7f_新北市私立維多利亞幼兒園.txt
8e3b7107-dcaa-4e1e-a693-ea255607f93c,新北市私立佳宜幼兒園,私立,三峽區,37,0,分數前100,template,True,,8e3b7107_新北市私立佳宜幼兒園.txt
df2dbb2e-4ab0-460a-aef5-597739263ad2,新北市私立艾維恩四維幼兒園,私立,板橋區,38,0,分數前100,template,True,,df2dbb2e_新北市私立艾維恩四維幼兒園.txt
d5df7547-7a9e-42b5-8280-6bb114a85486,新北市私立汐止皇家幼兒園,私立,汐止區,39,0,分數前100,template,True,,d5df7547_新北市私立汐止皇家幼兒園.txt
d6323aea-bb9f-43fd-9065-afda30b807fe,新北市私立及仁幼兒園,私立,鶯歌區,40,0,分數前100,template,True,,d6323aea_新北市私立及仁幼兒園.txt
540dc5bf-15c5-479c-8356-bcf049fa1b8e,新北市私立雨農幼兒園,私立,板橋區,41,0,分數前100,template,True,,540dc5bf_新北市私立雨農幼兒園.txt
7b539675-8fe9-4f05-942f-92c9627fbc2a,新北市私立艾法薇爾幼兒園,私立,板橋區,42,0,分數前100,template,True,,7b539675_新北市私立艾法薇爾幼兒園.txt
1b52e758-e9a7-49c0-aacf-8cb74c18e62c,新北市私立福祿貝爾大有幼兒園,私立,樹林區,43,0,分數前100,template,True,,1b52e758_新北市私立福祿貝爾大有幼兒園.txt
7196f653-1692-4cdc-9408-0ec0514cd563,新北市私立福音幼兒園,私立,板橋區,44,0,分數前100,template,True,,7196f653_新北市私立福音幼兒園.txt
12108b51-cfd5-48b4-a1e4-43970b1bcc59,新北市私立艾法貝爾幼兒園,私立,板橋區,45,0,分數前100,template,True,,12108b51_新北市私立艾法貝爾幼兒園.txt
53a57131-7f3f-4676-83e9-0e0d07592e7f,新北市汐止區農會附設新北市私立汐農幼兒園,私立,汐止區,46,0,分數前100,template,True,,53a57131_新北市汐止區農會附設新北市私立汐農幼兒園.txt
36bd8abf-2adf-4647-a040-edc63819b189,新北市私立夏哲森幼兒園,私立,林口區,47,0,分數前100,template,True,,36bd8abf_新北市私立夏哲森幼兒園.txt
5e289f7e-3dcf-4257-b3d8-e25ca4fd3a58,康橋學校財團法人新北市康橋高級中學附屬新北市私立康橋幼兒園,私立,新店區,48,0,分數前100,template,True,,5e289f7e_康橋學校財團法人新北市康橋高級中學附屬新北市私立康橋幼兒.txt
88715302-1745-44ec-9d35-afcf5ece835e,新北市私立曼哈頓幼兒園,私立,汐止區,49,0,分數前100,template,True,,88715302_新北市私立曼哈頓幼兒園.txt
348398a1-1f14-42da-bc82-c7f6fb874e96,新北市私立朱徠德幼兒園,私立,鶯歌區,50,0,分數前100,template,True,,348398a1_新北市私立朱徠德幼兒園.txt
b1fc71e8-1e46-4743-87f6-7351827187e3,新北市私立科見板橋幼兒園,私立,板橋區,51,0,分數前100,template,True,,b1fc71e8_新北市私立科見板橋幼兒園.txt
066d09b6-1db4-4fc7-a897-fa95c5ac85a2,新北市私立愛迪生幼兒園,私立,鶯歌區,52,0,分數前100,template,True,,066d09b6_新北市私立愛迪生幼兒園.txt
c38cfbd0-d110-4bed-bec1-b4a31cf3120a,康軒文教事業股份有限公司附設新北市私立員工幼兒園,私立,新店區,53,0,分數前100,template,True,,c38cfbd0_康軒文教事業股份有限公司附設新北市私立員工幼兒園.txt
27ac1e37-5c63-4cce-bbd9-088b58169814,新北市私立喬幼國際幼兒園,私立,永和區,54,0,分數前100,template,True,,27ac1e37_新北市私立喬幼國際幼兒園.txt
bc407262-a175-4df5-aafc-1f8037299ab8,新北市私立富雅幼兒園,私立,樹林區,55,0,分數前100,template,True,,bc407262_新北市私立富雅幼兒園.txt
d8bf292d-85c6-48b9-90a2-64cc1d8af3e3,新北市私立立德幼兒園,私立,汐止區,56,0,分數前100,template,True,,d8bf292d_新北市私立立德幼兒園.txt
c94f1c2d-4700-4062-841f-4fb5240f5233,新北市私立集賢幼兒園,私立,蘆洲區,57,0,分數前100,template,True,,c94f1c2d_新北市私立集賢幼兒園.txt
5b795786-6427-4289-99ac-1f6c1c8bc6de,新北市私立有一天幼兒園,私立,土城區,58,0,分數前100,template,True,,5b795786_新北市私立有一天幼兒園.txt
7925b208-0c2c-42cb-8f59-b7ac7fba1a13,新北市私立童心圓幼兒園,私立,新店區,59,0,分數前100,template,True,,7925b208_新北市私立童心圓幼兒園.txt
24173fbf-513d-4937-b6f8-5aa8d98a68b8,新北市私立吉而堡幼兒園,私立,林口區,60,0,分數前100,template,True,,24173fbf_新北市私立吉而堡幼兒園.txt
69edc735-e2ab-429a-ae9d-595289a3d905,新北市私立國儷幼兒園,私立,板橋區,61,0,分數前100,template,True,,69edc735_新北市私立國儷幼兒園.txt
19c1a589-4d00-4b3a-b37d-15bd98cc953e,新北市私立椰林幼兒園,私立,中和區,62,0,分數前100,template,True,,19c1a589_新北市私立椰林幼兒園.txt
1c85aae3-c95c-4733-a0a9-6836126476bc,新北市私立小博士幼兒園,私立,中和區,63,0,分數前100,template,True,,1c85aae3_新北市私立小博士幼兒園.txt
90ed51b5-00b2-4cc8-ba4a-3d15d0ad1901,新北市私立興南幼兒園,私立,中和區,64,0,分數前100,template,True,,90ed51b5_新北市私立興南幼兒園.txt
83389027-a400-4152-bca6-f3d2b928e1e4,新北市私立蘆洲來來幼兒園,私立,蘆洲區,65,0,分數前100,template,True,,83389027_新北市私立蘆洲來來幼兒園.txt
e7071b50-ceec-44dd-8ea7-8472631c3360,新北市私立長頸鹿吉凱幼兒園,私立,三重區,66,0,分數前100,template,True,,e7071b50_新北市私立長頸鹿吉凱幼兒園.txt
