id,title,parent,entity,type,town,owner,operator,count_approved,monthly,reg_date,is_active,size,size_in,size_out,indoor_area_per_child,shuttle,after_care,pre_public,penalty_count,total_fine,nonmonetary_sanction_count
87499978-d658-43c5-ba24-987192d12507,新北市私立童圓幼兒園,新北市私立童圓幼兒園,新北市私立童圓幼兒園,私立,汐止區,曾琡惠,,46,3750,1999/04/19,1,227.08,161.61,,3.51,0,0,113-115,1,6000,0
87ac6735-28c9-4597-930b-e7d45674c802,新北市私立慷乃兒幼兒園,新北市私立慷乃兒幼兒園,新北市私立慷乃兒幼兒園,私立,新莊區,陳科名,,75,16877,1995/09/23,1,,,,,0,0,無,0,0,0
884712c9-f9ac-472b-8f29-95b2164738cb,新北市私立辰修幼兒園,新北市私立辰修幼兒園,新北市私立辰修幼兒園,私立,中和區,高立華,,34,4125,1980/01/01,1,149.69,149.69,,4.4,0,0,113-115,2,21000,0
88715302-1745-44ec-9d35-afcf5ece835e,新北市私立曼哈頓幼兒園,新北市私立曼哈頓幼兒園,新北市私立曼哈頓幼兒園,私立,汐止區,國世爽,,300,3750,1998/08/25,1,1966.25,1151.82,776.8,3.84,0,1,113-115,1,3000,0
88ba0d01-b13f-4f4e-86b1-c1a5bdb74de6,新北市私立巧可麗雙和幼兒園,新北市私立巧可麗雙和幼兒園,新北市私立巧可麗雙和幼兒園,私立,永和區,林晏仲,,62,17858,2003/07/18,1,295.17,295.17,,4.76,0,0,無,0,0,0
88df5fa9-1c12-4291-8afc-25f74cfc64f8,新北市私立金城幼兒園,新北市私立金城幼兒園,新北市私立金城幼兒園,私立,土城區,王美惠,,240,4660,2000/12/11,1,888.12,888.12,,3.7,0,0,115-115,0,0,0
88ecdc9b-a873-4014-9d33-e7dd4e32a59e,財團法人中華民國佛教慈濟慈善事業基金會附設新北市私立臺北大愛幼兒園,財團法人中華民國佛教慈濟慈善事業基金會附設新北市私立臺北大愛幼兒園,財團法人中華民國佛教慈濟慈善事業基金會附設新北市私立臺北大愛幼兒園,私立,新店區,釋證嚴,,106,12500,2016/09/05,1,1193.26,960.45,232.81,9.06,0,0,無,0,0,0
8900bdee-b258-46f5-81f9-cc6c9925eb78,新北市私立新中幼兒園,新北市私立新中幼兒園,新北市私立新中幼兒園,私立,新店區,吳宏哲,,170,19783,2004/05/12,1,595.48,595.48,,3.5,0,0,無,1,6000,0
891fa4c5-bc43-4465-a393-f50a37593be1,新北市永和區頂溪國民小學附設幼兒園,新北市永和區頂溪國民小學附設幼兒園,新北市永和區頂溪國民小學附設幼兒園,公立,永和區,方文誼,,180,3728,1993/10/22,1,1792.0,967.0,825.0,5.37,0,0,無,0,0,0
893e426e-bf9a-4414-a344-f959dc7e2fdd,新北市私立康園幼兒園,新北市私立康園幼兒園,新北市私立康園幼兒園,私立,板橋區,莊璧如,,58,14940,2001/01/18,1,203.78,203.78,,3.51,0,0,無,0,0,0
89422f67-8b2c-4af9-adca-69fe4f6a3f69,新北市石門區老梅國民小學附設幼兒園,新北市石門區老梅國民小學附設幼兒園,新北市石門區老梅國民小學附設幼兒園,公立,石門區,涂志賢,,30,3728,1985/12/27,0,620.0,120.0,500.0,4.0,0,0,無,0,0,0
895ba81e-791e-4cc8-b4c9-25b7428eceec,新北市私立發現小熊森林幼兒園,新北市私立發現小熊森林幼兒園,新北市私立發現小熊森林幼兒園,私立,板橋區,周大鎮,,29,21460,2005/04/19,1,115.87,102.74,,3.54,0,0,無,0,0,0
896210ed-3171-4980-b2f3-962ffa15b6e1,新北市私立星星幼兒園,新北市私立星星幼兒園,新北市私立星星幼兒園,私立,瑞芳區,方建文,,91,4125,1985/07/01,1,668.96,274.49,394.47,3.02,0,0,113-115,4,102000,0
899d7cca-7d38-460a-a27b-69e58ad61d74,新北市私立日恩幼兒園,新北市私立日恩幼兒園,新北市私立日恩幼兒園,私立,土城區,吳愛華,,55,14817,2000/03/03,1,236.5,236.5,,4.3,0,0,無,0,0,0
899fd63e-9ae3-446e-aefc-aa452609aec0,新北市立板橋幼兒園和平分班,新北市立板橋幼兒園,新北市立板橋幼兒園,公立,板橋區,,,93,3706,1993/08/01,1,497.55,326.7,,3.51,0,0,無,0,0,0
89def7f5-8972-4056-ab86-2bce5b5e6a3c,新北市私立新二重幼兒園,新北市私立新二重幼兒園,新北市私立新二重幼兒園,私立,三重區,金瑃美,,29,4125,2014/02/21,1,119.85,119.85,,4.13,0,0,113-115,1,6000,0
8ae6976c-37c4-47cb-9c56-8d1cdec82fa1,新北市私立及幼幼兒園,新北市私立及幼幼兒園,新北市私立及幼幼兒園,私立,泰山區,鄭守芳,,59,9333,1974/08/22,1,208.86,208.86,,3.54,0,0,無,0,0,0
8b143010-7879-4756-b57b-fb8a1012e89f,新北市私立好好幼兒園,新北市私立好好幼兒園,新北市私立好好幼兒園,私立,新店區,張沛縈,,54,11833,2001/01/20,1,235.27,235.27,,4.36,0,0,無,1,6000,0
8b394672-9045-4408-bc7e-7b8f918f0dea,新北市私立傳動幼兒園,新北市私立傳動幼兒園,新北市私立傳動幼兒園,私立,永和區,洪秋香,,30,9833,2004/03/09,1,106.8,106.8,,3.56,0,0,無,8,57000,0
8bd1767f-f40f-4d5c-83a1-ba0647c9d541,新北市私立北極星幼兒園,新北市私立北極星幼兒園,新北市私立北極星幼兒園,私立,土城區,王舜慶,,43,12800,2004/07/05,1,217.67,153.03,,3.56,0,0,無,2,12000,0
8c45852f-0b40-4341-8cc9-1390da4876d6,新北市私立鼎群幼兒園,新北市私立鼎群幼兒園,新北市私立鼎群幼兒園,私立,三重區,郭美惠,,29,13650,2007/07/02,1,104.5,104.5,,3.6,0,0,無,6,275000,0
