report_file,report_key,code,short_name,academic_year,entity,report_operator,contract_period,registry_ids,registry_titles,registry_operators,registry_reg_dates,operator_matched_ids,operator_match,contract_covers_year,candidate_count,entity_count,report_capacity,registry_capacities,capacity_exact_match,capacity_gap_min,join_status,join_evidence
N03_龍埔成長_112.json,N03_112,N03,龍埔成長,112,新北市龍埔成長非營利幼兒園,財團法人成長文教基金會,109年8月1日至113年7月31日,"[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]","[""新北市龍埔成長非營利幼兒園(委託財團法人成長文教基金會辦理)""]","[""財團法人成長文教基金會""]","[""2012/08/01""]","[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]",True,True,1,1,90,[90],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N03_龍埔成長_113.json,N03_113,N03,龍埔成長,113,新北市龍埔成長非營利幼兒園,財團法人成長文教基金會,113年8月1日至117年7月31日,"[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]","[""新北市龍埔成長非營利幼兒園(委託財團法人成長文教基金會辦理)""]","[""財團法人成長文教基金會""]","[""2012/08/01""]","[""2ba5208c-7438-4216-95eb-6e6b2ac29280""]",True,True,1,1,72,[90],False,18,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:18
N04_海工_110.json,N04_110,N04,海工,110,新北市海工非營利幼兒園,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,"[""58793408-a677-46c0-b5cf-d1951e8d84e9""]","[""新北市海工非營利幼兒園(委託社團法人新北市幼兒成長協會辦理)""]","[""社團法人新北市幼兒成長協會""]","[""2002/04/22""]","[""58793408-a677-46c0-b5cf-d1951e8d84e9""]",True,True,1,1,60,[60],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N04_海工_111.json,N04_111,N04,海工,111,新北市海工非營利幼兒園,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,"[""58793408-a677-46c0-b5cf-d1951e8d84e9""]","[""新北市海工非營利幼兒園(委託社團法人新北市幼兒成長協會辦理)""]","[""社團法人新北市幼兒成長協會""]","[""2002/04/22""]","[""58793408-a677-46c0-b5cf-d1951e8d84e9""]",True,True,1,1,60,[60],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N04_海工_112.json,N04_112,N04,海工,112,新北市海工非營利幼兒園,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,"[""58793408-a677-46c0-b5cf-d1951e8d84e9""]","[""新北市海工非營利幼兒園(委託社團法人新北市幼兒成長協會辦理)""]","[""社團法人新北市幼兒成長協會""]","[""2002/04/22""]","[""58793408-a677-46c0-b5cf-d1951e8d84e9""]",True,True,1,1,60,[60],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N04_海工_113.json,N04_113,N04,海工,113,新北市海工非營利幼兒園,社團法人新北市幼兒成長協會,113年8月1日至117年7月31日,"[""58793408-a677-46c0-b5cf-d1951e8d84e9""]","[""新北市海工非營利幼兒園(委託社團法人新北市幼兒成長協會辦理)""]","[""社團法人新北市幼兒成長協會""]","[""2002/04/22""]","[""58793408-a677-46c0-b5cf-d1951e8d84e9""]",True,True,1,1,48,[60],False,12,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:12
N05_漢翔_110.json,N05_110,N05,漢翔,110,新北市漢翔非營利幼兒園,財團法人三之三生命教育基金會,109年8月1日至113年7月31日,"[""4515ce65-195a-42c3-87f6-128d59f9aade""]","[""新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理)""]","[""財團法人三之三生命教育基金會""]","[""2016/10/31""]","[""4515ce65-195a-42c3-87f6-128d59f9aade""]",True,True,1,1,76,[76],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N05_漢翔_111.json,N05_111,N05,漢翔,111,新北市漢翔非營利幼兒園,財團法人三之三生命教育基金會,109年8月1日至113年7月31日,"[""4515ce65-195a-42c3-87f6-128d59f9aade""]","[""新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理)""]","[""財團法人三之三生命教育基金會""]","[""2016/10/31""]","[""4515ce65-195a-42c3-87f6-128d59f9aade""]",True,True,1,1,76,[76],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N05_漢翔_112.json,N05_112,N05,漢翔,112,新北市漢翔非營利幼兒園,財團法人三之三生命教育基金會,109年8月1日至113年7月31日,"[""4515ce65-195a-42c3-87f6-128d59f9aade""]","[""新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理)""]","[""財團法人三之三生命教育基金會""]","[""2016/10/31""]","[""4515ce65-195a-42c3-87f6-128d59f9aade""]",True,True,1,1,76,[76],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N05_漢翔_113.json,N05_113,N05,漢翔,113,新北市漢翔非營利幼兒園,財團法人三之三生命教育基金會,113年8月1日至117年7月31日,"[""4515ce65-195a-42c3-87f6-128d59f9aade""]","[""新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理)""]","[""財團法人三之三生命教育基金會""]","[""2016/10/31""]","[""4515ce65-195a-42c3-87f6-128d59f9aade""]",True,True,1,1,72,[76],False,4,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:4
N06_昌平_110.json,N06_110,N06,昌平,110,新北市昌平非營利幼兒園,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,"[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]","[""新北市昌平非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2017/07/13""]","[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]",True,True,1,1,120,[120],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N06_昌平_111.json,N06_111,N06,昌平,111,新北市昌平非營利幼兒園,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,"[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]","[""新北市昌平非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2017/07/13""]","[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]",True,True,1,1,120,[120],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N06_昌平_112.json,N06_112,N06,昌平,112,新北市昌平非營利幼兒園,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,"[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]","[""新北市昌平非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2017/07/13""]","[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]",True,True,1,1,120,[120],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N06_昌平_113.json,N06_113,N06,昌平,113,新北市昌平非營利幼兒園,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,"[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]","[""新北市昌平非營利幼兒園（委託財團法人三之三生命教育基金會辦理）""]","[""財團法人三之三生命教育基金會""]","[""2017/07/13""]","[""a3ec15ec-696c-44e0-a3a7-5bd00f9367d0""]",True,True,1,1,112,[120],False,8,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:8
N07_北大_110.json,N07_110,N07,北大,110,新北市北大非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,"[""1bccb4da-f81d-4c79-b1ca-45d120d2d0be"",""68858ac0-2407-4d98-953d-3ee4c9986042""]","[""新北市北大非營利幼兒園(委託明新學校財團法人明新科技大學辦理)"",""新北市北大非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)""]","[""明新學校財團法人明新科技大學"",""社團法人中華音樂舞蹈暨表演藝術教育協會""]","[""2017/06/28"",""2017/06/28""]","[""68858ac0-2407-4d98-953d-3ee4c9986042""]",True,True,2,1,150,[182],False,32,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:32
N07_北大_111.json,N07_111,N07,北大,111,新北市北大非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,"[""1bccb4da-f81d-4c79-b1ca-45d120d2d0be"",""68858ac0-2407-4d98-953d-3ee4c9986042""]","[""新北市北大非營利幼兒園(委託明新學校財團法人明新科技大學辦理)"",""新北市北大非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)""]","[""明新學校財團法人明新科技大學"",""社團法人中華音樂舞蹈暨表演藝術教育協會""]","[""2017/06/28"",""2017/06/28""]","[""68858ac0-2407-4d98-953d-3ee4c9986042""]",True,True,2,1,182,[182],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N07_北大_112.json,N07_112,N07,北大,112,新北市北大非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,"[""1bccb4da-f81d-4c79-b1ca-45d120d2d0be"",""68858ac0-2407-4d98-953d-3ee4c9986042""]","[""新北市北大非營利幼兒園(委託明新學校財團法人明新科技大學辦理)"",""新北市北大非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)""]","[""明新學校財團法人明新科技大學"",""社團法人中華音樂舞蹈暨表演藝術教育協會""]","[""2017/06/28"",""2017/06/28""]","[""68858ac0-2407-4d98-953d-3ee4c9986042""]",True,True,2,1,182,[182],True,0,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N07_北大_113.json,N07_113,N07,北大,113,新北市北大非營利幼兒園,社團法人中華音樂舞蹈暨表演藝術教育協會,110年8月1日至114年7月31日,"[""1bccb4da-f81d-4c79-b1ca-45d120d2d0be"",""68858ac0-2407-4d98-953d-3ee4c9986042""]","[""新北市北大非營利幼兒園(委託明新學校財團法人明新科技大學辦理)"",""新北市北大非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理)""]","[""明新學校財團法人明新科技大學"",""社團法人中華音樂舞蹈暨表演藝術教育協會""]","[""2017/06/28"",""2017/06/28""]","[""68858ac0-2407-4d98-953d-3ee4c9986042""]",True,True,2,1,162,[182],False,20,matched,short_name:2_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:gap:20
N08_鷺江_110.json,N08_110,N08,鷺江,110,新北市鷺江非營利幼兒園,財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,"[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]","[""新北市鷺江非營利幼兒園(委託財團法人彭婉如文教基金會辦理)""]","[""財團法人彭婉如文教基金會""]","[""2017/07/06""]","[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]",True,True,1,1,106,[106],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N08_鷺江_111.json,N08_111,N08,鷺江,111,新北市鷺江非營利幼兒園,財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,"[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]","[""新北市鷺江非營利幼兒園(委託財團法人彭婉如文教基金會辦理)""]","[""財團法人彭婉如文教基金會""]","[""2017/07/06""]","[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]",True,True,1,1,106,[106],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
N08_鷺江_112.json,N08_112,N08,鷺江,112,新北市鷺江非營利幼兒園,財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,"[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]","[""新北市鷺江非營利幼兒園(委託財團法人彭婉如文教基金會辦理)""]","[""財團法人彭婉如文教基金會""]","[""2017/07/06""]","[""bc0ac35c-44a5-42f4-8c4e-b1f810ee4201""]",True,True,1,1,106,[106],True,0,matched,short_name:1_candidate(s);entity:1;operator:1_matched_uuid(s);contract:covered;capacity:exact
