notice_id,notice_key,source_url,title,publication_date,classification,body_text,body_sha256,attachments_json,raw_detail_file,raw_detail_sha256,action_count,full_population_claim,absence_semantics
6097,ntpc-kidedu-6097,https://kidedu.ntpc.edu.tw/p/404-1000-6097.php,【重要公告】本市103學年度私立幼兒園追蹤評鑑未通過之受評園實地訪視日程表,,corrective_order_followup,"一、依據本市幼兒園基礎評鑑暨追蹤評鑑實施計畫辦理。

二、本市103學年度幼兒園追蹤評鑑結果報告，未通過追蹤評鑑之受評園，本市已於105年5月11日函文至各園限期改善，各園應於文到次日起6個月內完成改善。

三、本局謹訂於本（105）年11月16日（星期三）至11月22日（星期二）針對未通過之評鑑項目進行實地訪視，其結果將另行公布。

四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。

五、受評園應配合本局所定之訪視評鑑日期接受訪視，相關人員應全程參與；訪視所需之相關佐證文件，應於訪視當日備妥，訪視完畢後即不補正。",e2e322be44803bd11ef6297c16ff921e893b05f081f5784f05e9b2a9d5439ab8,"[{""byte_length"":51816,""downloaded"":true,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memd6TDNCMFlWODJNRGszWHpReU1ESXlPREpmTVRreE9ERXVjR1Jt&fname=WW54RPOKRKSS11HH50POJCHGMKDG25HGKLB0B114VXIDLK40KPNKGHFG0054B4SSWWTSVX05DG04MOHCQONKTSWWKL34XSICVXYTDCTSROB0CDUWFHA445FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ECTWQOKKLK50RKPOB5050404QKSXQOOKA0KK20UWB1NOHD51NLRK"",""label"":""103追蹤後訪視日程公告-依日期.pdf"",""raw_file"":""raw/002_6097_attachment_pdf.pdf"",""response_sha256"":""2ccae4bf231ebc4876c1d40ff09c3e909840267209bb284a1a2ea9d1dffb331e"",""source_order"":1,""title"":""103追蹤後訪視日程公告-依日期.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memd6TDNCMFlWODJNRGszWHpReU1ESXlPREpmTVRreE9ERXVjR1Jt&fname=WW54RPOKRKSS11HH50POJCHGMKDG25HGKLB0B114VXIDLK40KPNKGHFG0054B4SSWWTSVX05DG04MOHCQONKTSWWKL34XSICVXYTDCTSROB0CDUWFHA445FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ECTWQOKKLK50RKPOB5050404QKSXQOOKA0KK20UWB1NOHD51NLRK""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memd6TDNCMFlWODJNRGszWHpFeU1qY3lORFpmTVRreE9ERXVjR1Jt&fname=WW54RPOKRKSS11HH50POJCHGMKDG25HGKLB0B114VXIDLK40KPNKGHFG0054B4SSWWTSVX05DG04MOHCQONKTSWWKL34XSICVXYTDCTSROB0CDUWFHA445FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ZSTWFGHGYSFCSSWSXT0544POMOJGIG30ZTLOWSICRKMP21XTLKB5POMKOPB400SSPKROKK04POPO"",""label"":""103追蹤後訪視日程公告-依行政區.pdf"",""source_order"":2,""title"":""103追蹤後訪視日程公告-依行政區.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memd6TDNCMFlWODJNRGszWHpFeU1qY3lORFpmTVRreE9ERXVjR1Jt&fname=WW54RPOKRKSS11HH50POJCHGMKDG25HGKLB0B114VXIDLK40KPNKGHFG0054B4SSWWTSVX05DG04MOHCQONKTSWWKL34XSICVXYTDCTSROB0CDUWFHA445FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ZSTWFGHGYSFCSSWSXT0544POMOJGIG30ZTLOWSICRKMP21XTLKB5POMKOPB400SSPKROKK04POPO""}]",raw/001_6097_detail.html,b1394666606a4c14b803816fcba752e4ae6b59becd1f5cf3981e90e0a442db63,9,false,"This five-notice bounded pilot is not a population census. Absence of an action, penalty candidate, or notice is never evidence of compliance, completion, or low risk."
6098,ntpc-kidedu-6098,https://kidedu.ntpc.edu.tw/p/404-1000-6098.php,【重要公告】本市104學年度公私立幼兒園追蹤評鑑受評園實地訪視日程表,,corrective_order_followup,"一、依據本市幼兒園基礎評鑑暨追蹤評鑑實施計畫辦理。

二、本市104學年度幼兒園基礎評鑑結果報告已於105年5月3日新北教幼字第1050760195號函函文至各校(園)，未通過基礎評鑑之受評園，應於評鑑結果公布後6個月內限期改善。

三、本局謹訂於本（105）年11月15日（星期二）至11月25日（星期五）辦理追蹤評鑑，針對未通過之評鑑項目進行實地訪視評鑑，其結果將另行公布。

四、旨揭實地訪視日程表，請逕至新北市幼兒教育資源網（路徑：新北市幼兒教育資源網－評鑑專區－基礎評鑑－參考表單）下載。

五、受評園應配合本局所定之訪視評鑑日期接受訪視，相關人員應全程參與；訪視所需之相關佐證文件，應於訪視當日備妥，訪視完畢後即不補正。",aec4b52f940efbe60dd6ae7f1943f43be739ce986d0945da74ae26da63526b26,"[{""byte_length"":104967,""downloaded"":true,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemcwTDNCMFlWODJNRGs0WHpreE1qa3dPREJmTVRreE9ERXVjR1Jt&fname=WW54RPOKICSSA1MP50POJCHGMKDG25HGKLB0B114VXID0040QKA445B4WS10A0SSZTCCEH102004LKLOYW30TS24OPB035MKQP35NOTSYSZWVSB0SSGC45FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ECTWQOKKLK50RKPOB5050404QKSXQOOKA0KK20UWB1NOHD51NLRK"",""label"":""104追蹤評鑑日程表公告-依日期.pdf"",""raw_file"":""raw/004_6098_attachment_pdf.pdf"",""response_sha256"":""f39646ac937a239be1def5a80dc7596961a8c3f8d460720325e6b321c96ba94b"",""source_order"":1,""title"":""104追蹤評鑑日程表公告-依日期.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemcwTDNCMFlWODJNRGs0WHpreE1qa3dPREJmTVRreE9ERXVjR1Jt&fname=WW54RPOKICSSA1MP50POJCHGMKDG25HGKLB0B114VXID0040QKA445B4WS10A0SSZTCCEH102004LKLOYW30TS24OPB035MKQP35NOTSYSZWVSB0SSGC45FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ECTWQOKKLK50RKPOB5050404QKSXQOOKA0KK20UWB1NOHD51NLRK""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemcwTDNCMFlWODJNRGs0WHpnd09EWTBOVGhmTVRreE9ERXVjR1Jt&fname=WW54RPOKICSSA1MP50POJCHGMKDG25HGKLB0B114VXID0040QKA445B4WS10A0SSZTCCEH102004LKLOYW30TS24OPB035MKQP35NOTSYSZWVSB0SSGC45FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ZSTWFGHGYSFCSSWSXT0544POMOJGIG30ZTLOWSICRKMP21XTLKB5POMKOPB400SSPKROKK04POPO"",""label"":""104追蹤評鑑日程表公告-依行政區.pdf"",""source_order"":2,""title"":""104追蹤評鑑日程表公告-依行政區.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemcwTDNCMFlWODJNRGs0WHpnd09EWTBOVGhmTVRreE9ERXVjR1Jt&fname=WW54RPOKICSSA1MP50POJCHGMKDG25HGKLB0B114VXID0040QKA445B4WS10A0SSZTCCEH102004LKLOYW30TS24OPB035MKQP35NOTSYSZWVSB0SSGC45FCRKPOOOYXDGA0EGGDVWSWGD24ST2404LK44QLB5TSNK30ZSTWFGHGYSFCSSWSXT0544POMOJGIG30ZTLOWSICRKMP21XTLKB5POMKOPB400SSPKROKK04POPO""}]",raw/003_6098_detail.html,8989b6aa04479ae105bc72085dc181d9b8216b3d1a83da72c3ff95265b27d53f,89,false,"This five-notice bounded pilot is not a population census. Absence of an action, penalty candidate, or notice is never evidence of compliance, completion, or low risk."
7077,ntpc-kidedu-7077,https://kidedu.ntpc.edu.tw/p/404-1000-7077.php,【重要公告】新北市基礎評鑑暨追蹤評鑑實施計畫106.11.30公告版_106.11.30,,policy_revision,"一、依據本局106年11月8日本市106學年度幼兒園基礎評鑑小組第1次會議決議辦理。

二、本次修正重點說明如下：

(一)依據：增列第2週期（107至111學年度）評鑑指標。

(二)評鑑期程： 增列第1週期及第2週期之區間。 增列第2款新設立及自請停辦後復辦之幼兒園辦理評鑑期程。

(三)107至111學年度實地訪視評鑑區域如下：

107學年度：新莊、泰山、五股、林口、八里、金山、萬里。

108學年度：中和、永和、三芝、石門、淡水。

109學年度：三重、蘆洲、三峽、樹林。

110學年度：汐止、新店、烏來、石碇、深坑、坪林、瑞芳、平溪、雙溪、貢寮、鶯歌。

111學年度：板橋、土城。

(四)實施計畫附件3自評表內容更新為107至111學年度評鑑指標。

(五)幼兒園追蹤評鑑未通過裁罰處分及實地訪視，修正相關文字及按次處罰之罰鍰金額。

三、各園得先依本市自評表進行自我評鑑，瞭解園務運作現況。本局刻正修訂「幼兒園評鑑資源手冊」，預計於107年2至3月份發送，並規劃於107年4月份辦理說明會。

四、修訂後實施計畫請逕至「新北市幼兒教育資源網」（http://kidedu.ntpc.edu.tw/，路徑：評鑑專區/基礎評鑑/法源依據）查詢下載。",6fa14d85f1d7ef6dbb25597cc735195aaa9fc8c5de083357b4c306b4e0a33a2e,"[{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memt6TDNCMFlWODNNRGMzWHpNMU1qWTJOekZmTVRreE9Ea3VjR1Jt&fname=WSGGHGGHUSLKOOYXDGLKOKYWMK30WTRLQO34XS10QPNPLK40FCNKQOB4WWOOKLOKZTPOUX10A404GDXTVWPKTSB1DGB0FH00NPVXDCA0NKB030OKSSGCB5PKZT40LP10HCA0EGXWVWSWHCYS50B0UWXSHD35UTFGMOB4B4EGIGSWYSUSA410A5YXDGVWVWYWQO14B425WSROTWXSUTMP04B5XWB4VSSWWSDC01QKLOQO41JH24FG3024MKMOKKMKWSJC40HCIHRL00B5YS20PPSWOOKKMKQKWWTSHDYX44XS54WSKOOKEGHCRKMONKMP21XTNOVSWS20JGVS00POA050YW00TTZXJCXW41HGRKNKUSGCSTQKOKMP00GDVSPO"",""label"":""新北市幼兒園基礎評鑑暨追蹤評鑑實施計畫-106.11.30公告版.pdf"",""source_order"":1,""title"":""新北市幼兒園基礎評鑑暨追蹤評鑑實施計畫-106.11.30公告版.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memt6TDNCMFlWODNNRGMzWHpNMU1qWTJOekZmTVRreE9Ea3VjR1Jt&fname=WSGGHGGHUSLKOOYXDGLKOKYWMK30WTRLQO34XS10QPNPLK40FCNKQOB4WWOOKLOKZTPOUX10A404GDXTVWPKTSB1DGB0FH00NPVXDCA0NKB030OKSSGCB5PKZT40LP10HCA0EGXWVWSWHCYS50B0UWXSHD35UTFGMOB4B4EGIGSWYSUSA410A5YXDGVWVWYWQO14B425WSROTWXSUTMP04B5XWB4VSSWWSDC01QKLOQO41JH24FG3024MKMOKKMKWSJC40HCIHRL00B5YS20PPSWOOKKMKQKWWTSHDYX44XS54WSKOOKEGHCRKMONKMP21XTNOVSWS20JGVS00POA050YW00TTZXJCXW41HGRKNKUSGCSTQKOKMP00GDVSPO""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memt6TDNCMFlWODNNRGMzWHpnM056QXhNRGhmTVRreE9Ea3VaRzlq&fname=WSGGTSB0RKDC41XXLOLKTSXTZS3025HGRKFGXSICVXA1PO40NKB4EG54WS10A0SSNOTSTXHHA404FG1414304000ST34RK20A1YTA4FCWS20POFGCCLKB5FCWWXWXX1544JC41WTMKSWPOYSIGROUSYS44UXVSB0SW303001FGTS45QKNOKK21HHHC04ICTXVW30PKKKWSJCHGGCML5130B514YWJGA414DC01GHWWLKNPZXWWVWTSMOYWPKA1HCIGUW35GC00VXWSQP14FGGHQOB0OOOKGHZTWWID0020ZSDCLOSTTWICXS34ROMOGCTX35KOB0NKTSFGTWCC10A0RKYW44SS1504NOXWLOTW14HGNPECJGYWGCLP35ML44YSB4PPDG14CCYSDCA410HD1000PORKZWXS14WTHG34ROWSKKZTJD10TSYSB4SWDG20POYWGHSSWWXTXX04EGNK24ZSB4JD24OPFGRLQLXXB5NLNL"",""label"":""實施計畫附件3-新北市107學年至111學年幼兒園基礎評鑑自評表-106.11.30版本.doc"",""source_order"":2,""title"":""實施計畫附件3-新北市107學年至111學年幼兒園基礎評鑑自評表-106.11.30版本.doc[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9Memt6TDNCMFlWODNNRGMzWHpnM056QXhNRGhmTVRreE9Ea3VaRzlq&fname=WSGGTSB0RKDC41XXLOLKTSXTZS3025HGRKFGXSICVXA1PO40NKB4EG54WS10A0SSNOTSTXHHA404FG1414304000ST34RK20A1YTA4FCWS20POFGCCLKB5FCWWXWXX1544JC41WTMKSWPOYSIGROUSYS44UXVSB0SW303001FGTS45QKNOKK21HHHC04ICTXVW30PKKKWSJCHGGCML5130B514YWJGA414DC01GHWWLKNPZXWWVWTSMOYWPKA1HCIGUW35GC00VXWSQP14FGGHQOB0OOOKGHZTWWID0020ZSDCLOSTTWICXS34ROMOGCTX35KOB0NKTSFGTWCC10A0RKYW44SS1504NOXWLOTW14HGNPECJGYWGCLP35ML44YSB4PPDG14CCYSDCA410HD1000PORKZWXS14WTHG34ROWSKKZTJD10TSYSB4SWDG20POYWGHSSWWXTXX04EGNK24ZSB4JD24OPFGRLQLXXB5NLNL""}]",raw/005_7077_detail.html,ccbff153a62a12433950bf34e71d714fd22fb9fbb0526977ca80e9d13170952b,0,false,"This five-notice bounded pilot is not a population census. Absence of an action, penalty candidate, or notice is never evidence of compliance, completion, or low risk."
15015,ntpc-kidedu-15015,https://kidedu.ntpc.edu.tw/p/404-1000-15015.php,115學年度準公共教保服務機構申請及審核作業,,policy_eligibility_negative_control,"主旨：有關115學年度準公共教保服務機構申請及審核作業一案，全國教保資訊網填報系統（以下簡稱填報系統）自115年6月15日起至115年6月30日止開放本市12個行政區之私立教保服務機構申請，請依說明配合辦理，請查照。

說明：

一、依據教育部115年6月1日臺教授國字第1155601388號函暨教育部推動及補助地方政府與私立教保服務機構合作提供準公共教保服務作業要點（以下簡稱本要點）辦理。

二、115學年度將受理平價教保機會率未達80%，且公共化教保機會率未達40%之行政區之私立教保服務機構申請加入準公共機制，本市共12個行政區，其餘行政區不受理申請，請參閱公告附件，申請準公共教保服務機構應同時符合相關要件（詳如說明五）。

三、依教育部推動及補助地方政府與私立教保服務機構合作提供準公共教保服務作業要點第11點第2項規定，有下列情形，亦不得申請：

經本局以書面通知解除契約未滿2學年，期程尚未屆滿。

經本局依幼兒教育及照顧法（以下簡稱幼照法）及教保服務人員條例（以下簡稱教保條例）令其於一定期間內減少招收人數、停止招生或停辦，且期間尚未屆滿或已屆期仍未改善完成。

自112年3月1日幼照法及教保條例修正施行以後，經認定屬情節重大之違法對待幼兒案件，且其行為人為負責人、園長者。

前項違法對待幼兒案件，經調查認定事實明確雖尚未完成裁罰程序，但其情節重大者。

違反幼照法及教保條例規定，114學年度經本局處分累計超過3次以上；或曾違反法令情節重大者。

自請停辦且申請期程內未完成復辦。

四、填報系統自115年6月15日（星期一）起至115年6月30日（星期二）止開放本市12個行政區之私立教保服務機構申請；相關作業說明如下：

前開行政區內有意願新申請準公共機制之私立教保服務機構，應於申請期間內，至填報系統─「準公共管理區」─「準公共申請」功能區辦理線上申請作業，填報資料確認後須儲存並送出申請後，再與本局預約審查時間，審查時應檢附自填報系統列印之申請表、相關文件及佐證資料等。新立案或停辦後復辦之教保服務機構，若系統無填報介面者，可採紙本申請作業，並完成收費登載及檢核程序。

私立教保服務機構經審核通過後，應與本局簽訂合作契約1式2份，契約期間為115年8月1日起至116年7月31日止，雙方完成用印之契約書正本，由本局及教保服務機構各執1份留存，本局將函知各該機構業經審核通過成為準公共教保服務機構，以保障雙方權益。另有關契約簽訂等相關事宜，請俟本局審核通過函文通知後再行辦理。

五、有關開放受理申請之行政區、合作要件及其他表件，請自行至新北市幼兒教育資源網（網址：https://kidedu.ntpc.edu.tw）/重要公告項下下載參閱。

六、本案申請倘有疑義，請洽本局各區承辦人：

板橋區、土城區、新莊區、三重區、蘆洲區及林口區：孫先生，分機2800。

淡水區、汐止區及五股區：吳小姐，分機2767。

中和區、永和區及新店區：杭小姐，分機2759",32c1e352dcc611c77a387a39d4ac8df948803e2d143f5826769eabf70bf06d12,"[{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13Tmw4Mk9EWXlPVGMwWHpZMk1EWTNMbkJrWmc9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010GHGHNOCCDD05FGA0NKYWQONKMOKKSSROXSWSUTXTPKB0ROTSWXUW500020OKSS4011YX24NO50YSVWB4DG35KLQKCCHCIHRLSSTSUSUSFGUW20GCHHHH"",""label"":""公告附件-115新申請地區.pdf"",""source_order"":1,""title"":""公告附件-115新申請地區.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13Tmw4Mk9EWXlPVGMwWHpZMk1EWTNMbkJrWmc9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010GHGHNOCCDD05FGA0NKYWQONKMOKKSSROXSWSUTXTPKB0ROTSWXUW500020OKSS4011YX24NO50YSVWB4DG35KLQKCCHCIHRLSSTSUSUSFGUW20GCHHHH""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13TjE4eE5qTTBOekEwWHpZMk1EWTRMbkJrWmc9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010GHGHNOCCDD05FGA054MKMOXSA0HCUSB0MKWSA1VXHGB0YSUS50DG50KKUWB0GCPO01LLPKNO54YSVWB4WSICWSNO4035UTGDIGA0NK30ECTWFG5445PKNOPO51YX040441WTTWB4TSRL20EG40MKQPMPJGPKLKB4JCDG34DCSWFGNODCLPJHIGXSJC34QOMO3025B0UWMPWSIHIDCCB5DCMK45FGIGOKROPKYW54UTZXHC04NKLOMK30MKKKYSRONKGC4435OOA0WSA4VSVS50OOXS50MKXW45YTWWJCEGMOVWSW40NPSSROA110"",""label"":""公告附件-115學年度準公共教保服務機構申請及審核作業.pdf"",""source_order"":2,""title"":""公告附件-115學年度準公共教保服務機構申請及審核作業.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13TjE4eE5qTTBOekEwWHpZMk1EWTRMbkJrWmc9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010GHGHNOCCDD05FGA054MKMOXSA0HCUSB0MKWSA1VXHGB0YSUS50DG50KKUWB0GCPO01LLPKNO54YSVWB4WSICWSNO4035UTGDIGA0NK30ECTWFG5445PKNOPO51YX040441WTTWB4TSRL20EG40MKQPMPJGPKLKB4JCDG34DCSWFGNODCLPJHIGXSJC34QOMO3025B0UWMPWSIHIDCCB5DCMK45FGIGOKROPKYW54UTZXHC04NKLOMK30MKKKYSRONKGC4435OOA0WSA4VSVS50OOXS50MKXW45YTWWJCEGMOVWSW40NPSSROA110""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13T0Y4MU1qYzROak14WHpZMk1EWTRMbkJrWmc9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010VWGHWWTSCD05B0B0MO20QONKICKKYSB0WSGCVXVXOOFCWSB0305050GG20SSIC40TXZX20NO5410RK30JG3020FCMO35QPRLA4SSYSQOECTWDGKKRKFCDGLKUT10IG04FG34OO30GDB1B430A1A1"",""label"":""公告附件-資料上傳操作說明.pdf"",""source_order"":3,""title"":""公告附件-資料上傳操作說明.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13T0Y4MU1qYzROak14WHpZMk1EWTRMbkJrWmc9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010VWGHWWTSCD05B0B0MO20QONKICKKYSB0WSGCVXVXOOFCWSB0305050GG20SSIC40TXZX20NO5410RK30JG3020FCMO35QPRLA4SSYSQOECTWDGKKRKFCDGLKUT10IG04FG34OO30GDB1B430A1A1""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13T1Y4eU1ERTNPREUzWHpZMk1EWTRMbkJrWmc9PQ==&fname=WSGGHGGHUSLKOOYXDGLKOKYWMK30WTRL34UWYSGCCCYTLK40FCNKQOB4WWOOFGOKSSWWIH25VS04GDWW34PK40LKWSB0DCICGGVXQPOOWSB4GHUW14OO01ECPK44GG1100LK5020VWKODGNPUSFCCCYSIHRLSSTSUSUSFGUW20GCHHHH"",""label"":""新北教幼字第1151055814號.pdf"",""source_order"":4,""title"":""新北教幼字第1151055814號.pdf[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE13T1Y4eU1ERTNPREUzWHpZMk1EWTRMbkJrWmc9PQ==&fname=WSGGHGGHUSLKOOYXDGLKOKYWMK30WTRL34UWYSGCCCYTLK40FCNKQOB4WWOOFGOKSSWWIH25VS04GDWW34PK40LKWSB0DCICGGVXQPOOWSB4GHUW14OO01ECPK44GG1100LK5020VWKODGNPUSFCCCYSIHRLSSTSUSUSFGUW20GCHHHH""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE14TUY4eU1ERTRPRGMxWHpZMk1qTTJMbVJ2WTNnPQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010VWGHWW00UTZXDGVWA0WSRKXSICGCWXTWMKHCVXVXROFCWSB001A4QOSWKLUSLOPOSSZXA4NOUWLOVWOKHGNPB0MOSWIC00GDMLB0SSNKEGUWQOOKYSQKWWWSHD05IGB0A0WSIG30TSMODGEGCGHCA1NPSSA5A0B0GHPOFH00ROTWNODC41JHLOPOSWLOMK30HG35FGUWNOIGUTRLWWQPUWDCSTLLWS54SWSSNO00UXZXHCZS0524MK30B4KK50ROXS3521XTA4VSYSA445A4CCPOA050NO40TTZXVSA0NPXTVWJGJG00PKNOZWMPA1QLUTSSSW30USA434GGDCUSPO04POMP"",""label"":""公告附件-新北市私立○○幼兒園提供準公共教保服務契約書.docx"",""source_order"":5,""title"":""公告附件-新北市私立○○幼兒園提供準公共教保服務契約書.docx[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE14TUY4eU1ERTRPRGMxWHpZMk1qTTJMbVJ2WTNnPQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010VWGHWW00UTZXDGVWA0WSRKXSICGCWXTWMKHCVXVXROFCWSB001A4QOSWKLUSLOPOSSZXA4NOUWLOVWOKHGNPB0MOSWIC00GDMLB0SSNKEGUWQOOKYSQKWWWSHD05IGB0A0WSIG30TSMODGEGCGHCA1NPSSA5A0B0GHPOFH00ROTWNODC41JHLOPOSWLOMK30HG35FGUWNOIGUTRLWWQPUWDCSTLLWS54SWSSNO00UXZXHCZS0524MK30B4KK50ROXS3521XTA4VSYSA445A4CCPOA050NO40TTZXVSA0NPXTVWJGJG00PKNOZWMPA1QLUTSSSW30USA434GGDCUSPO04POMP""},{""downloaded"":false,""href"":""/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE14TUY4eU1ERTRPRGMxWHpZMk1qTTJMbTlrZEE9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010VWGHWW00UTZXDGVWA0WSRKXSICGCWXTWMKHCVXVXROFCWSB001A4QOSWKLUSLOPOSSZXA4NOUWLOVWOKHGNPB0MOSWIC00GDMLB0SSNKEGUWQOOKYSQKWWWSHD05IGB0A0WSIG30TSMODGEGCGHCA1NPSSA5A0B0GHPOFH00ROTWNODC41JHLOPOSWLOMK30HG35FGUWNOIGUTRLWWQPUWDCSTLLWS54SWSSNO00UXZXHCZS0524MK30B4KK50ROXS3521XTA4VSYSA445A4CCPOA050NO40TTZXVSA0NPXTVWJGJG00PKNOZWMPA1QLUTB4POB4JCQOWSSSXXOKPO04POMP"",""label"":""公告附件-新北市私立○○幼兒園提供準公共教保服務契約書.odt"",""source_order"":6,""title"":""公告附件-新北市私立○○幼兒園提供準公共教保服務契約書.odt[]"",""url"":""https://kidedu.ntpc.edu.tw/app/index.php?Action=downloadfile&file=WVhSMFlXTm9MemMzTDNCMFlWOHpNRE14TUY4eU1ERTRPRGMxWHpZMk1qTTJMbTlrZEE9PQ==&fname=LOGGVWOKUS00OO00HCLKJGMO34MO2524FGB0B1HGVXNPDC40A020YWUWB010VWGHWW00UTZXDGVWA0WSRKXSICGCWXTWMKHCVXVXROFCWSB001A4QOSWKLUSLOPOSSZXA4NOUWLOVWOKHGNPB0MOSWIC00GDMLB0SSNKEGUWQOOKYSQKWWWSHD05IGB0A0WSIG30TSMODGEGCGHCA1NPSSA5A0B0GHPOFH00ROTWNODC41JHLOPOSWLOMK30HG35FGUWNOIGUTRLWWQPUWDCSTLLWS54SWSSNO00UXZXHCZS0524MK30B4KK50ROXS3521XTA4VSYSA445A4CCPOA050NO40TTZXVSA0NPXTVWJGJG00PKNOZWMPA1QLUTB4POB4JCQOWSSSXXOKPO04POMP""}]",raw/006_15015_detail.html,bd459b99bcec020fea0248bdff03e29c972821170305f69d1948593718a459e3,0,false,"This five-notice bounded pilot is not a population census. Absence of an action, penalty candidate, or notice is never evidence of compliance, completion, or low risk."
