code,short_name,academic_year,anomaly_score,rank_in_year,percentile_in_year,n_peers,n_features,change_score,n_anomalies,anomaly_1,anomaly_2,anomaly_3,contribution_1,contribution_2,contribution_3
N01,安溪,112,0.8548,15,57.6,34,15,0.3153,1,修繕購置費執行率 0.147（同年中位 0.900，偏低，第 3 百分位；同儕 34 園）,,,修繕購置費執行率 0.147（同年中位 0.900，偏低，第 3 百分位；同儕 34 園）,業務費占支出比 0.021（同年中位 0.032，偏低，第 12 百分位；同儕 34 園）,材料費占支出比 0.118（同年中位 0.097，偏高，第 85 百分位；同儕 34 園）
N17,中正,110,0.8523,10,66.7,28,16,,0,,,,人事費占支出比 0.498（同年中位 0.597，偏低，第 7 百分位；同儕 28 園）,未編列預算支出占比 0.620（同年中位 0.411，偏高，第 100 百分位；同儕 28 園）,預收款覆蓋倍數 1.495（同年中位 2.203，偏低，第 4 百分位；同儕 28 園）
N21,文創,112,0.8418,16,54.5,34,16,1.8234,1,招收利用率 0.933（同年中位 0.998，偏低，第 3 百分位；同儕 34 園）,,,招收利用率 0.933（同年中位 0.998，偏低，第 3 百分位；同儕 34 園）,本期餘絀率 -0.044（同年中位 0.010，偏低，第 3 百分位；同儕 34 園）,行政管理費占收入比 0.018（同年中位 0.016，偏高，第 97 百分位；同儕 34 園）
N20,柏翠,110,0.8404,11,63.0,28,16,,0,,,,負債占資產比 0.698（同年中位 0.841，偏低，第 7 百分位；同儕 28 園）,流動比率 1.735（同年中位 1.447，偏高，第 93 百分位；同儕 28 園）,維護費執行率 0.978（同年中位 0.582，偏高，第 96 百分位；同儕 28 園）
N11,新林,112,0.8367,17,51.5,34,15,0.5024,0,,,,修繕購置費執行率 1.206（同年中位 0.900，偏高，第 88 百分位；同儕 34 園）,人事費執行率 0.957（同年中位 0.843，偏高，第 97 百分位；同儕 34 園）,師生比（每師幼兒數） 12.364（同年中位 11.062，偏高，第 94 百分位；同儕 34 園）
N18,福營,110,0.8281,12,59.3,28,16,,0,,,,負債占資產比 0.704（同年中位 0.841，偏低，第 11 百分位；同儕 28 園）,流動比率 1.703（同年中位 1.447，偏高，第 89 百分位；同儕 28 園）,師生比（每師幼兒數） 12.714（同年中位 10.957，偏高，第 93 百分位；同儕 28 園）
N22,文仁,110,0.8262,13,55.6,28,16,,0,,,,預收款覆蓋倍數 3.257（同年中位 2.203，偏高，第 100 百分位；同儕 28 園）,材料費占支出比 0.078（同年中位 0.108，偏低，第 4 百分位；同儕 28 園）,人事費占支出比 0.520（同年中位 0.597，偏低，第 14 百分位；同儕 28 園）
N02,山北,111,0.8116,13,61.3,32,16,0.3764,0,,,,修繕購置費執行率 0.197（同年中位 0.921，偏低，第 3 百分位；同儕 32 園）,師生比（每師幼兒數） 9.000（同年中位 11.125，偏低，第 9 百分位；同儕 32 園）,行政管理費占收入比 0.010（同年中位 0.016，偏低，第 13 百分位；同儕 30 園）
N14,積穗,111,0.7674,14,58.1,32,16,0.6396,0,,,,人事費執行率 0.939（同年中位 0.856，偏高，第 97 百分位；同儕 32 園）,修繕購置費執行率 0.525（同年中位 0.921，偏低，第 22 百分位；同儕 32 園）,"每生成本 142,685.434（同年中位 125,068.288，偏高，第 91 百分位；同儕 32 園）"
N01,安溪,111,0.7645,15,54.8,32,15,1.2132,0,,,,修繕購置費執行率 0.305（同年中位 0.921，偏低，第 6 百分位；同儕 32 園）,負債占資產比 0.892（同年中位 0.836，偏高，第 84 百分位；同儕 32 園）,材料費占支出比 0.124（同年中位 0.104，偏高，第 88 百分位；同儕 32 園）
