code,short_name,academic_year,anomaly_score,rank_in_year,percentile_in_year,n_peers,n_features,change_score,n_anomalies,anomaly_1,anomaly_2,anomaly_3,contribution_1,contribution_2,contribution_3
N29,東湖,112,0.5755,25,27.3,34,15,1.5238,0,,,,行政管理費占收入比 0.013（同年中位 0.016，偏低，第 18 百分位；同儕 34 園）,材料費占支出比 0.120（同年中位 0.097，偏高，第 88 百分位；同儕 34 園）,預收款覆蓋倍數 1.683（同年中位 2.026，偏低，第 9 百分位；同儕 34 園）
N25,碧城,112,0.5737,26,24.2,34,15,0.4472,0,,,,師生比（每師幼兒數） 13.222（同年中位 11.062，偏高，第 100 百分位；同儕 34 園）,人事費占支出比 0.438（同年中位 0.574，偏低，第 24 百分位；同儕 34 園）,未編列預算支出占比 0.673（同年中位 0.404，偏高，第 79 百分位；同儕 34 園）
N13,三多,111,0.5711,26,19.4,32,16,0.8446,0,,,,代收代付等占收入比 0.043（同年中位 0.127，偏低，第 15 百分位；同儕 27 園）,負債占資產比 0.905（同年中位 0.836，偏高，第 91 百分位；同儕 32 園）,業務費占支出比 0.045（同年中位 0.033，偏高，第 91 百分位；同儕 32 園）
N01,安溪,113,0.5673,33,13.5,38,16,0.8964,0,,,,負債占資產比 0.982（同年中位 0.868，偏高，第 97 百分位；同儕 38 園）,本期餘絀率 -0.099（同年中位 0.030，偏低，第 3 百分位；同儕 37 園）,業務費占支出比 0.017（同年中位 0.030，偏低，第 5 百分位；同儕 38 園）
N06,昌平,112,0.5651,27,21.2,34,15,0.5689,0,,,,修繕購置費執行率 0.695（同年中位 0.900，偏低，第 15 百分位；同儕 34 園）,招收利用率 0.983（同年中位 0.998，偏低，第 32 百分位；同儕 34 園）,人事費占支出比 0.457（同年中位 0.574，偏低，第 26 百分位；同儕 34 園）
N17,中正,111,0.5558,27,16.1,32,16,1.9735,0,,,,本期餘絀率 0.070（同年中位 0.023，偏高，第 88 百分位；同儕 32 園）,師生比（每師幼兒數） 12.364（同年中位 11.125，偏高，第 84 百分位；同儕 32 園）,人事費占支出比 0.674（同年中位 0.594，偏高，第 81 百分位；同儕 32 園）
N19,中園,112,0.5536,28,18.2,34,15,1.2388,0,,,,招收利用率 0.971（同年中位 0.998，偏低，第 21 百分位；同儕 34 園）,業務費占支出比 0.019（同年中位 0.032，偏低，第 6 百分位；同儕 34 園）,修繕購置費執行率 0.709（同年中位 0.900，偏低，第 18 百分位；同儕 34 園）
N31,翠中,113,0.5419,34,10.8,38,16,0.5798,0,,,,維護費執行率 0.364（同年中位 0.706，偏低，第 13 百分位；同儕 38 園）,材料費占支出比 0.102（同年中位 0.088，偏高，第 82 百分位；同儕 38 園）,流動比率 1.241（同年中位 1.455，偏低，第 11 百分位；同儕 38 園）
N07,北大,111,0.5292,28,12.9,32,16,1.3056,0,,,,維護費執行率 1.009（同年中位 0.597，偏高，第 91 百分位；同儕 32 園）,代收代付等占收入比 0.062（同年中位 0.127，偏低，第 19 百分位；同儕 27 園）,人事費占支出比 0.680（同年中位 0.594，偏高，第 88 百分位；同儕 32 園）
N06,昌平,110,0.5267,24,14.8,28,16,,0,,,,行政管理費占收入比 0.019（同年中位 0.011，偏高，第 86 百分位；同儕 28 園）,人事費執行率 0.829（同年中位 0.870，偏低，第 25 百分位；同儕 28 園）,師生比（每師幼兒數） 12.000（同年中位 10.957，偏高，第 82 百分位；同儕 28 園）
N08,鷺江,113,0.5238,35,8.1,38,16,0.9389,0,,,,未編列預算支出占比 0.621（同年中位 0.426，偏高，第 92 百分位；同儕 38 園）,代收代付等占收入比 0.239（同年中位 0.100，偏高，第 100 百分位；同儕 25 園）,負債占資產比 0.923（同年中位 0.868，偏高，第 92 百分位；同儕 38 園）
N10,大觀,112,0.5222,29,15.2,34,15,0.7131,0,,,,維護費執行率 0.271（同年中位 0.684，偏低，第 9 百分位；同儕 34 園）,本期餘絀率 0.045（同年中位 0.010，偏高，第 79 百分位；同儕 34 園）,行政管理費占收入比 0.014（同年中位 0.016，偏低，第 24 百分位；同儕 34 園）
N02,山北,112,0.5221,30,12.1,34,15,1.3271,0,,,,師生比（每師幼兒數） 9.000（同年中位 11.062，偏低，第 6 百分位；同儕 34 園）,"每生成本 157,774.389（同年中位 136,616.712，偏高，第 94 百分位；同儕 34 園）",本期餘絀率 -0.025（同年中位 0.010，偏低，第 9 百分位；同儕 34 園）
N06,昌平,111,0.519,29,9.7,32,16,0.4421,0,,,,本期餘絀率 -0.005（同年中位 0.023，偏低，第 12 百分位；同儕 32 園）,修繕購置費執行率 0.685（同年中位 0.921，偏低，第 25 百分位；同儕 32 園）,師生比（每師幼兒數） 12.000（同年中位 11.125，偏高，第 78 百分位；同儕 32 園）
N16,中平,110,0.5186,25,11.1,28,16,,0,,,,人事費執行率 0.940（同年中位 0.870，偏高，第 96 百分位；同儕 28 園）,本期餘絀率 0.016（同年中位 0.070，偏低，第 7 百分位；同儕 28 園）,預收款覆蓋倍數 1.858（同年中位 2.203，偏低，第 14 百分位；同儕 28 園）
N19,中園,110,0.5033,26,7.4,28,16,,0,,,,招收利用率 0.985（同年中位 0.997，偏低，第 18 百分位；同儕 28 園）,材料費占支出比 0.124（同年中位 0.108，偏高，第 82 百分位；同儕 28 園）,人事費執行率 0.912（同年中位 0.870，偏高，第 86 百分位；同儕 28 園）
N15,新月,110,0.496,27,3.7,28,16,,0,,,,修繕購置費執行率 0.594（同年中位 0.953，偏低，第 21 百分位；同儕 28 園）,業務費占支出比 0.026（同年中位 0.036，偏低，第 11 百分位；同儕 28 園）,本期餘絀率 0.120（同年中位 0.070，偏高，第 86 百分位；同儕 28 園）
N12,昌福,111,0.4959,30,6.5,32,16,0.9807,0,,,,代收代付等占收入比 0.006（同年中位 0.127，偏低，第 4 百分位；同儕 27 園）,未編列預算支出占比 0.192（同年中位 0.402，偏低，第 16 百分位；同儕 32 園）,流動比率 1.607（同年中位 1.449，偏高，第 78 百分位；同儕 32 園）
N24,佳林,111,0.475,31,3.2,32,16,0.8374,0,,,,預收款覆蓋倍數 2.799（同年中位 2.169，偏高，第 84 百分位；同儕 32 園）,業務費占支出比 0.021（同年中位 0.033，偏低，第 16 百分位；同儕 32 園）,人事費占支出比 0.514（同年中位 0.594，偏低，第 12 百分位；同儕 32 園）
N23,菁湖,113,0.4358,36,5.4,38,16,1.1818,0,,,,材料費占支出比 0.078（同年中位 0.088，偏低，第 11 百分位；同儕 38 園）,本期餘絀率 -0.040（同年中位 0.030，偏低，第 24 百分位；同儕 37 園）,維護費執行率 0.919（同年中位 0.706，偏高，第 87 百分位；同儕 38 園）
N08,鷺江,111,0.4319,32,0.0,32,16,0.7858,0,,,,材料費占支出比 0.082（同年中位 0.104，偏低，第 12 百分位；同儕 32 園）,流動比率 1.604（同年中位 1.449，偏高，第 75 百分位；同儕 32 園）,代收代付等占收入比 0.168（同年中位 0.127，偏高，第 81 百分位；同儕 27 園）
N17,中正,112,0.4228,31,9.1,34,16,1.2103,0,,,,招收利用率 0.963（同年中位 0.998，偏低，第 18 百分位；同儕 34 園）,業務費占支出比 0.023（同年中位 0.032，偏低，第 18 百分位；同儕 34 園）,本期餘絀率 -0.022（同年中位 0.010，偏低，第 15 百分位；同儕 34 園）
N07,北大,112,0.4166,32,6.1,34,15,0.2235,0,,,,流動比率 1.293（同年中位 1.449，偏低，第 21 百分位；同儕 34 園）,招收利用率 0.989（同年中位 0.998，偏低，第 44 百分位；同儕 34 園）,行政管理費占收入比 0.015（同年中位 0.016，偏低，第 38 百分位；同儕 34 園）
N28,新樂,112,0.393,33,3.0,34,15,0.8095,0,,,,行政管理費占收入比 0.015（同年中位 0.016，偏低，第 29 百分位；同儕 34 園）,本期餘絀率 -0.013（同年中位 0.010，偏低，第 24 百分位；同儕 34 園）,師生比（每師幼兒數） 11.722（同年中位 11.062，偏高，第 74 百分位；同儕 34 園）
N23,菁湖,110,0.37,28,0.0,28,16,,0,,,,代收代付等占收入比 0.191（同年中位 0.147，偏高，第 83 百分位；同儕 24 園）,業務費占支出比 0.047（同年中位 0.036，偏高，第 89 百分位；同儕 28 園）,招收利用率 0.991（同年中位 0.997，偏低，第 39 百分位；同儕 28 園）
N17,中正,113,0.342,37,2.7,38,15,0.4042,0,,,,招收利用率 0.933（同年中位 0.974，偏低，第 21 百分位；同儕 38 園）,人事費執行率 0.829（同年中位 0.874，偏低，第 24 百分位；同儕 38 園）,業務費占支出比 0.025（同年中位 0.030，偏低，第 24 百分位；同儕 38 園）
N13,三多,112,0.3129,34,0.0,34,15,0.433,0,,,,業務費占支出比 0.040（同年中位 0.032，偏高，第 85 百分位；同儕 34 園）,修繕購置費執行率 0.775（同年中位 0.900，偏低，第 24 百分位；同儕 34 園）,負債占資產比 0.910（同年中位 0.871，偏高，第 88 百分位；同儕 34 園）
N19,中園,113,0.2825,38,0.0,38,16,0.5045,0,,,,招收利用率 0.945（同年中位 0.974，偏低，第 34 百分位；同儕 38 園）,負債占資產比 0.897（同年中位 0.868，偏高，第 74 百分位；同儕 38 園）,業務費占支出比 0.025（同年中位 0.030，偏低，第 26 百分位；同儕 38 園）
