title,fee_109,fee_110,fee_111,fee_112,fee_113,fee_114,max_jump_pct,max_jump_pre113_pct
新北市土城區土城國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市土城區安和國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市土城區廣福國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市土城區樂利國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市土城區清水國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市土城區頂埔國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市坪林區坪林國民小學附設幼兒園,9925,16675,16675,16675,16675,16675,68.01,68.01
新北市大觀非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理),50762,50762,,,,,0.0,0.0
新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理),55932,55932,,,,,0.0,0.0
新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),54342,58116,,,,,6.94,6.94
新北市山北非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,57148,57148,,,,,0.0,0.0
新北市平溪區十分國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市平溪區平溪國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市平溪區菁桐國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市文仁非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),56550,56550,,,,,0.0,0.0
新北市文創非營利幼兒園(委託財團法人三之三生命教育基金會辦理),56844,56844,,,,,0.0,0.0
新北市新店區中正國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區北新國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區大豐國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區安坑國民小學附設幼兒園,17890,17890,17890,17890,17890,17890,0.0,0.0
新北市新店區屈尺國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區新和國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區新店國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區直潭國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區雙城國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區雙峰國民小學附設幼兒園,17125,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區青潭國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店區龜山國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新店及人非營利幼兒園(財團法人新北市私立及人高級中學申請辦理),,50340,,,,,,
新北市新月非營利幼兒園(委託財團法人彭婉如文教基金會辦理),45910,45910,,,,,0.0,0.0
新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),48267,48267,,,,,0.0,0.0
新北市新樂非營利幼兒園(委託財團法人三之三生命教育基金會辦理),,55226,,,,,,
新北市新莊區中信國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區中港國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區丹鳳國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區光華國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區國泰國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區思賢國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區新泰國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區新莊國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區昌隆國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區榮富國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區民安國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區興化國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區裕民國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區豐年國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市新莊區頭前國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市昌平非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,,48936,,,,,,
新北市昌福非營利幼兒園(委託中華民國文教產業發展暨補習服務品保協會辦理),49986,49986,,,,,0.0,0.0
新北市板橋區中山國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區信義國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區國光國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區埔墘國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區大觀國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區實踐國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區後埔國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
新北市板橋區文德國民小學附設幼兒園,16675,16675,16675,16675,16675,16675,0.0,0.0
