file,short_name,academic_year,extracted_operator,registry_operators,operator_match,contract_period,period_contains_year,opening_year,total_assets,registry_capacity,assets_per_place,magnitude_plausible
N10_大觀_112.json,大觀,112,社團法人新北市中華國際嬰幼兒發展學會,新北市中華國際嬰幼兒發展學會,True,111年8月1日至115年7月31日,True,0,13229540,106,124807,True
N10_大觀_113.json,大觀,113,社團法人新北市中華國際嬰幼兒發展學會,新北市中華國際嬰幼兒發展學會,True,111年8月1日至115年7月31日,True,0,14199205,106,133955,True
N11_新林_110.json,新林,110,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 明新學校明新科技大學,True,107年8月1日至111年7月31日,True,0,11726758,136,86226,True
N11_新林_111.json,新林,111,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 明新學校明新科技大學,True,111年8月1日至115年7月31日,True,1,13174878,136,96874,
N11_新林_112.json,新林,112,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 明新學校明新科技大學,True,111年8月1日至115年7月31日,True,0,14158405,136,104106,True
N11_新林_113.json,新林,113,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 明新學校明新科技大學,True,111年8月1日至115年7月31日,True,0,15965739,136,117395,True
N12_昌福_110.json,昌福,110,中華民國文教產業發展暨補習服務品保協會,中華民國文教產業發展暨補習服務品保協會 | 明新學校明新科技大學,True,107年8月1日至111年7月31日,True,0,12869777,90,142998,True
N12_昌福_111.json,昌福,111,中華民國文教產業發展暨補習服務品保協會,中華民國文教產業發展暨補習服務品保協會 | 明新學校明新科技大學,True,111年8月1日至115年7月31日,True,1,15230003,90,169222,
N12_昌福_112.json,昌福,112,中華民國文教產業發展暨補習服務品保協會,中華民國文教產業發展暨補習服務品保協會 | 明新學校明新科技大學,True,111年8月1日至115年7月31日,True,0,17984378,90,199826,True
N12_昌福_113.json,昌福,113,中華民國文教產業發展暨補習服務品保協會,中華民國文教產業發展暨補習服務品保協會 | 明新學校明新科技大學,True,111年8月1日至115年7月31日,True,0,18298425,90,203316,True
N13_三多_110.json,三多,110,廣亞學校財團法人設立之廣亞學校財團法人育達科技大學,中華巧耕多元教育發展協會 | 廣亞學校設立之廣亞學校育達科技大學,True,107年8月1日至111年7月31日,True,0,8749740,90,97219,True
N13_三多_111.json,三多,111,廣亞學校財團法人設立之廣亞學校財團法人育達科技大學,中華巧耕多元教育發展協會 | 廣亞學校設立之廣亞學校育達科技大學,True,111年8月1日至115年7月31日,True,1,10580125,90,117557,
N13_三多_112.json,三多,112,廣亞學校財團法人設立之廣亞學校財團法人育達科技大學,中華巧耕多元教育發展協會 | 廣亞學校設立之廣亞學校育達科技大學,True,111年8月1日至115年7月31日,True,0,12140571,90,134895,True
N13_三多_113.json,三多,113,廣亞學校財團法人設立之廣亞學校財團法人育達科技大學,中華巧耕多元教育發展協會 | 廣亞學校設立之廣亞學校育達科技大學,True,111年8月1日至115年7月31日,True,0,14243879,90,158265,True
N14_積穗_110.json,積穗,110,財團法人三之三生命教育基金會,三之三生命教育基金會,True,107年8月1日至111年7月31日,True,0,11337582,196,57845,True
N14_積穗_111.json,積穗,111,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日,True,1,12699715,196,64794,
N14_積穗_112.json,積穗,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日,True,0,13642596,196,69605,True
N14_積穗_113.json,積穗,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日,True,0,20349085,196,103822,True
N15_新月_110.json,新月,110,財團法人彭婉如文教基金會,彭婉如文教基金會,True,107年8月1日至111年7月31日,True,0,19401326,484,40085,True
N15_新月_111.json,新月,111,財團法人彭婉如文教基金會,彭婉如文教基金會,True,111年8月1日至115年7月31日,True,1,23613572,484,48788,
N15_新月_112.json,新月,112,財團法人彭婉如文教基金會,彭婉如文教基金會,True,111年8月1日至115年7月31日,True,0,28197721,484,58260,True
N15_新月_113.json,新月,113,財團法人彭婉如文教基金會,彭婉如文教基金會,True,111年8月1日至115年7月31日,True,0,38951884,484,80479,True
N16_中平_110.json,中平,110,社團法人新北市中華國際嬰幼兒發展學會,新北市中華國際嬰幼兒發展學會,True,107年9月1日至111年7月31日,True,0,13245586,120,110380,True
N16_中平_111.json,中平,111,社團法人新北市中華國際嬰幼兒發展學會,新北市中華國際嬰幼兒發展學會,True,111年8月1日至115年7月31日,True,1,14928099,120,124401,
N16_中平_112.json,中平,112,社團法人新北市中華國際嬰幼兒發展學會,新北市中華國際嬰幼兒發展學會,True,111年8月1日至115年7月31日,True,0,16508965,120,137575,True
N16_中平_113.json,中平,113,社團法人新北市中華國際嬰幼兒發展學會,新北市中華國際嬰幼兒發展學會,True,111年8月1日至115年7月31日,True,0,18939217,120,157827,True
N17_中正_110.json,中正,110,財團法人三之三生命教育基金會,三之三生命教育基金會,True,108年2月1日至111年7月31日,True,0,9051665,136,66556,True
