code,short_name,academic_year,rule,rule_text,passed,detail,severity
N01,安溪,113,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,False,"資產 13,699,844 vs 負債 15,899,844，未提撥足額 +2,200,000。依附註二(一)，未提撥足額衍生之所得稅應由非營利法人自行繳納，不得以園營運成本支應（本期未列所得稅費用）——請確認負擔主體",high
N01,安溪,113,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,,"提列 5,420,000 後本期餘絀 -1,988,771（虧損），但提列前為 +3,431,229（未虧損）——虧損係提列本身造成，是否符合「未發生虧損之年度」需主管機關認定",high
N01,安溪,113,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額之百分之20為業務發展準備金。,False,"提列 5,420,000 = 收入合計 20,155,978 的 26.9%（上限 4,031,196，超出 1,388,804）。本份附註未定義「收入總額」之認定基礎",high
N01,安溪,113,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 1,733,763（決算 11,978,248 / 預算 13,712,011），同期支出合計超支 4,876,794。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N01,安溪,113,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 290,580 vs 年末應付受託法人款 290,580，差額 +0；本年度以現金支付約 0（表列行政管理費 290,580 − 揭露數）",medium
N01,安溪,113,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延長照顧服務收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 1,765,262——可能為代收代付，需確認是否總額入帳",medium
N02,山北,110,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 256,056 vs 負債 256,056，差額 +0",medium
N02,山北,110,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 4,456,723 = 負債 4,456,723",high
N02,山北,110,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 294,400，本期餘絀 +1,065,234（未虧損）",high
N02,山北,110,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 294,400 = 收入合計 12,382,097 的 2.4%",high
N02,山北,110,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 802,648（決算 6,971,731 / 預算 7,774,379），同期支出合計超支 970,159。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N02,山北,110,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 125,430 vs 年末應付受託法人款 125,430，差額 +0；本年度以現金支付約 0（表列行政管理費 125,430 − 揭露數）",medium
