code,short_name,year,year_kind,entity_type,tuition_income,approved_capacity,actual_enrolment,educators,material_cost,implied_fee_per_child,filed_fee_per_child,fee_identity_ratio,enrolment_utilisation,staff_ratio,material_per_child,registry_capacity_max,capacity_gap,income_period,period_months,full_year,implied_fee_annualised,registry_indoor_area,area_per_child_registry,area_per_child_report,parent_fee,gov_subsidy,fee_split_subtotal,fee_split_total,parent_share,parent_per_child,gov_subsidy_per_child,parent_monthly_avg,registry_monthly,tuition_actual,tuition_budget,gov_transfer_actual,fund_use_actual,fee_year_basis,fee_basis_note,n_branches,capacity_basis,implied_enrolment,implied_enrolment_budget,occupancy,occupancy_budget,gov_per_child,cost_per_child
N37,清水高中,113,學年度,非營利,8761524.0,72.0,64.0,8.0,683462.0,136898.8125,,,0.8888888888888888,8.0,10679.09375,90.0,18.0,民國113年9月27日至114年7月31日,11,False,149344.1590909091,745.74,8.286,10.3575,,,,,,,,,2000.0,,,,,,,,,,,,,,
N38,崁頂,113,學年度,非營利,22846800.0,224.0,200.0,23.0,1889649.0,114234.0,,,0.8928571428571429,8.695652173913043,9448.245,272.0,48.0,民國113年9月27日至114年7月31日,11,False,124618.90909090909,1915.262,7.041404411764706,8.550276785714285,,,,,,,,,2000.0,,,,,,,,,,,,,,
13601,新北市立板橋幼兒園,112,年度,公立,,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3982100.0,4930000.0,25374023.0,30543972.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",3,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 3 筆分班,259.4201954397394,321.1726384364821,0.8314749853837802,1.0293994821682118,97810.51531855052,117739.37625875794
13602,新北市立三重幼兒園,112,年度,公立,,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2936850.0,2954000.0,21276467.0,24527273.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",3,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 3 筆分班,191.3257328990228,192.442996742671,0.92427890289383,0.9296763127665265,111205.46451129612,128196.41471304289
13603,新北市立中和幼兒園,112,年度,公立,,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255200.0,5319000.0,31436281.0,35690856.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",5,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 5 筆分班,277.2117263843648,346.51465798045604,0.7126265459752308,0.8907831824690386,113401.69988484679,128749.44529046814
13604,新北市立永和幼兒園,112,年度,公立,,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8897217.0,9796000.0,51859627.0,59794372.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",7,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 7 筆分班,579.6232573289902,638.1758957654723,0.7875315996317802,0.8670868148987395,89471.26662753083,103160.75354799147
13605,新北市立新莊幼兒園,112,年度,公立,,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4541600.0,4787000.0,25110825.0,29632880.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",3,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 3 筆分班,295.8697068403909,311.85667752443,0.9333429237867221,0.9837750079635015,84871.22682534788,100155.16734190592
13606,新北市立新店幼兒園,112,年度,公立,,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444303.0,4898000.0,26526958.0,31287430.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",5,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 5 筆分班,289.5311400651466,319.08794788273616,0.742387538628581,0.8181742253403491,91620.3970116349,108062.40044839427
13607,新北市立樹林幼兒園,112,年度,公立,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2657800.0,3429000.0,22078861.0,24837393.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",4,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 4 筆分班,173.14657980456025,223.38762214983714,0.7979105060117984,1.0294360467734431,127515.43244412674,143447.2054142524
13608,新北市立鶯歌幼兒園,112,年度,公立,,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2787000.0,3982000.0,22369803.0,25113871.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",1,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 1 筆分班,181.56351791530943,259.41368078175896,0.6699760808683005,0.957246054545236,123206.48584499463,138320.0286508791
13609,新北市立三峽幼兒園,112,年度,公立,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050669.0,2860000.0,18709524.0,20447020.0,15350.0,"學年度 111 下學期 7,675 + 學年度 112 上學期 7,675",3,登記核定人數為釘住之鏡像快照（retrieved_on=2026-08-10），非該年度當時核定數；以本園名聚合 3 筆分班,133.5940716612378,186.31921824104234,0.685097803390963,0.9554831704668838,140047.56174692258,153053.3484438493
