code,short_name,academic_year,balance_sheet_date,income_period,operator,contract_period,approved_capacity,actual_enrolment,total_staff,educators,cash,prepaid_receipts,current_assets_total,current_liabilities_total,reserve_asset,reserve_liability,severance_asset,severance_liability,accumulated_surplus,current_surplus,equity_total,total_assets,total_liabilities,人事費_預算,人事費_決算,業務費_預算,業務費_決算,材料費_預算,材料費_決算,維護費_預算,維護費_決算,修繕購置費_預算,修繕購置費_決算,雜支_預算,雜支_決算,行政管理費_預算,行政管理費_決算,業務發展費_預算,業務發展費_決算,支出合計_決算,收入合計_決算,prepaid_coverage,reserve_funding_gap,equity_erosion,maintenance_execution,repair_execution,personnel_execution,admin_fee_execution,related_party_priority,enrolment_utilisation,staff_ratio,cost_per_child,unbudgeted_spend,identity_passed,identity_failed,n_issues
N03,龍埔成長,113,民國114年7月31日,民國113年8月1日至114年7月31日 (113.8.1~114.7.31),財團法人成長文教基金會,113年8月1日至117年7月31日,72,71,12,9,6149763,2720064,6167351,4037948,7629301,7629301,428137,428137,2896676,-760073,2136603,14987068,12850465,9548493,8710840,562700,498463,1257840,1183148,118000,98854,100800,91690,33762,5671,182054,182054,,1699800,13604475,12844402,2.260889,0,-0.262395,0.837746,0.909623,0.912274,1.0,0.224321,0.986111,7.888889,191612.323944,3747157,9,0,13
N04,海工,110,111年7月31日,110.8.1~111.7.31,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,60,60,7,5,2575148,1208580,2593148,1430744,2074000,2074000,113473,113473,789323,373081,1162404,5285338,4122934,4548105,3798440,566000,356834,934200,956833,93000,70282,84000,195741,33960,10488,90012,90012,,336000,6790138,7163219,2.130722,0,0.472659,0.75572,2.33025,0.83517,1.0,0.019225,1.0,12.0,113168.966667,2263806,9,0,3
N04,海工,111,112年7月31日,111.8.1~112.7.31,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,60,60,6,4,2706430,1280861,2758013,1510307,2554000,2554000,139758,139758,1162404,85302,1247706,5928185,4680479,4663319,4018956,566000,375935,934200,1040430,93000,85436,84000,166999,33960,22233,90012,90012,,480000,7679993,7765295,2.112977,0,0.073384,0.918667,1.988083,0.861823,1.0,-0.033527,1.0,15.0,127999.883333,3430967,9,0,6
N04,海工,112,113年7月31日,112.8.1~113.7.31,社團法人新北市幼兒成長協會,109年8月1日至113年7月31日,60,60,7,5,3226040,1488338,3271040,1701109,3854000,3854000,166661,166661,1247706,322225,1569931,7790743,6220812,4768660,2899218,566000,384913,934200,1098507,93000,33078,84000,143845,33960,6373,90012,90012,,1300000,8709004,9031229,2.167545,0,0.258254,0.355677,1.71244,0.607973,1.0,0.213385,1.0,12.0,145150.066667,6882076,9,0,11
N04,海工,113,114年7月31日,民國113年8月1日至114年7月31日,社團法人新北市幼兒成長協會,113年8月1日至117年7月31日,48,48,7,5,3294879,1641672,3309865,2260002,5024000,5024000,198704,198704,1569931,-520068,1049863,9032432,7982569,5682706,5072224,546000,391984,838560,862438,93000,49846,67200,234047,32760,12400,138456,138456,,1170000,8871195,8351127,2.007026,0,-0.331268,0.535978,3.482842,0.892572,1.0,-0.172716,1.0,9.6,184816.5625,2852927,9,0,8
N05,漢翔,110,111年7月31日,110.8.1~111.7.31,財團法人三之三生命教育基金會,109年8月1日至113年7月31日,76,76,11,8,4227113,2010759,4605175,3037369,5664300,5664300,222828,222828,790799,792007,1582806,12286520,10703714,7006576,5862148,694700,373048,1183320,907619,118000,82394,106400,111654,41682,34973,112681,112681,,766300,11009882,11841923,2.102247,0,1.001528,0.698254,1.04938,0.836664,1.0,0.212109,1.0,9.5,144866.868421,6376438,9,0,3
N05,漢翔,111,112/7/31,111.8.1~112.7.31,財團法人三之三生命教育基金會,109年8月1日至113年7月31日,76,76,11,8,4718448,2088983,5152130,3477673,6409100,6409100,263748,263748,1582806,106651,1689457,12882843,11193386,7175076,6412661,694700,412723,1183320,1086820,118000,147265,106400,46170,41682,34343,112681,112681,,744800,11869873,11976524,2.25873,0,0.067381,1.248008,0.433929,0.893741,1.0,0.181307,1.0,9.5,156182.539474,6569613,9,0,1
N05,漢翔,112,113年7月31日,112.8.1~113.7.31,財團法人三之三生命教育基金會,109年8月1日至113年7月31日,76,76,11,8,5236308,2195398,5253472,3310939,8191619,8191619,305646,305646,1689457,268076,1957533,14672741,12715208,7349453,5032018,694700,421276,1183320,1180578,118000,88595,106400,111709,41682,26415,112681,112681,,1782519,12653515,12921591,2.385129,0,0.158676,0.750805,1.049897,0.684679,1.0,0.212799,1.0,9.5,166493.618421,9583947,9,0,7
N05,漢翔,113,114年7月31日,民國113年8月1日至114年7月31日,財團法人三之三生命教育基金會,113年8月1日至117年7月31日,72,72,8,7,6877439,2468856,6973753,3424375,10767024,10767024,354784,354784,1957533,1606845,3564378,19443325,15878947,8784257,6363884,719700,298788,1257840,811922,118000,127280,100800,55784,43182,39257,197754,197754,,2575405,11597650,13204495,2.785678,0,0.820852,1.078644,0.553413,0.724465,1.0,0.278955,1.0,10.285714,161078.472222,4675476,9,0,12
N06,昌平,110,111年7月31日,110.8.1~111.7.31,財團法人三之三生命教育基金會,110年8月1日至114年7月31日,120,120,13,10,5319138,2527673,5614254,3806456,4277567,4277567,215484,215484,207443,1611855,1819298,11454209,9634911,8566753,7099629,819400,532499,1808400,1462619,143000,54588,168000,140166,49164,23313,262780,262780,,613100,12416699,14059209,2.104362,0,7.77011,0.381734,0.834321,0.828742,1.0,0.33706,1.0,12.0,103472.491667,5189157,9,0,4
